,x,y,yUpper,yLower,target
0,1.0,0.9642857142857143,0.9993564466450702,0.9292149819263584,0.95
1,1.4933245224283849,0.9642857142857143,0.9993564466450702,0.9292149819263584,0.95
2,1.7213443392752146,0.963963963963964,0.9993447446900479,0.9285831832378801,0.95
3,1.9282683843049329,0.9279279279279279,0.9770197479468264,0.8788361079090293,0.95
4,2.137665069351884,0.918918918918919,0.9707352749480445,0.8671025628897935,0.95
5,2.3478538296684257,0.9279279279279279,0.9770197479468264,0.8788361079090293,0.95
6,2.570268811544855,0.9009009009009009,0.9576216385347168,0.844180163267085,0.95
7,2.865809983352848,0.9,0.9572077553547356,0.8427922446452645,0.95
8,3.2005459453338028,0.9196428571428571,0.9710167917682304,0.8682689225174838,0.95
9,4.0,0.8738738738738738,0.9368963427498768,0.8108514049978709,0.95
